price,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,total_shares,dividend_yield
29.049725,-54340000.0,428033163.48800004,0.0,0.0,14734499.67213115,0.0
6.4290375,-67195625.0,98041537.97240001,-3.09885,461870.0,15249800.296296297,0.0
141.8878194545,1012250000.0,15534204037.670837,39.7679,6274125000.0,35634100.11105822,4.4913170002028874e-07
53.418158250000005,-771250000.0,6595272667.366375,-6.8468,10562148750.0,123464995.48898944,0.0
133.4096715,242911250.0,1243223730.9958,14.376,220288491.25,9318842.607267795,0.0
74.7197025,924500000.0,13807378409.98375,70.237755,5276875000.0,184788990.69470665,1.2179086065925958e-06
33.211645765,454080000.0,3806685839.001625,15.8569,454080000.0,114619006.41531262,1.3661471477201766e-05
63.24268,227385000.0,6128203134.89925,35.4421,435851250.0,96899801.44578393,5.452250727414784e-06
30.28791,60062500.0,376306076.40320003,9.22701,209408750.0,12424299.874213837,1.3661471477201766e-05
41.983996000000005,1220532500.0,9955371921.664,70.237755,10562148750.0,237123019.96370235,0.0
98.6261975,1220532500.0,15534204037.670837,18.4592,10562148750.0,468084400.97929186,2.5603503092417905e-07
26.28285775,636643750.0,4135370756.454375,22.7779,2498765718.75,157340986.12067306,0.0
10.589053365000002,358673750.0,2070380348.8365002,7.48841,891148666.25,195520815.45643434,1.3661471477201766e-05
4.7146275,73500000.0,961439847.9072,33.0,491750000.0,203927001.21212122,0.0
4.36698325,28625000.0,227786646.66799998,-5.38372,3471375000.0,52161099.23664122,1.3661471477201766e-05
4.286025,-302740000.0,47294571.464999996,-0.224806,717257500.0,11034600.0,0.0
27.7829665,-69317500.0,3230881079.04,-41.8571,2942335000.0,116289996.57182035,0.0
66.7191225,50831250.0,367084623.1344,14.4433,173112500.0,5501940.2141327625,1.3661471477201766e-05
141.8878194545,1220532500.0,15534204037.670837,30.577,6168000000.0,46242899.21934836,4.896918866504704e-07
25.06772204,1017375000.0,3156026372.4672503,3.07003,5424375000.0,125900006.68713537,4.570026767147893e-06
141.8878194545,106481250.0,6327230500.48,-52.23688250000001,1082211250.0,43713301.30946897,0.0
79.6724425,288912500.0,3195159906.5856247,-52.23688250000001,3985862500.0,40103702.1876871,0.0
12.590341304999999,87992500.0,759562111.8799999,27.5943,953461250.0,60328953.241192535,1.3661471477201766e-05
37.290989115,240343750.0,2119422096.486375,15.5278,820136250.0,56834697.78584807,0.0
0.476225,-871390937.5,52310935.125,-1.31707,2268750000.0,109845000.00000001,0.0
45.01754925,99713750.0,1410561808.7936249,70.237755,1831032500.0,31333598.392045405,0.0
11.053182249999999,-91750000.0,13192193606.605,7.54902,10562148750.0,468084400.97929186,3.937783324677022e-06
141.8878194545,868500000.0,9628713695.897625,20.687,10562148750.0,20492198.828370515,4.313556442922987e-07
24.6398815,564000000.0,15534204037.670837,47.8333,8532000000.0,468084400.97929186,0.0
116.827517,1220532500.0,15534204037.670837,15.0258,10562148750.0,205943013.07680148,5.600106367292402e-07
6.176638250000001,156908750.0,1079577600.8448,-9.59702,1356921250.0,174784009.86892828,0.0
20.38243,210917500.0,3075728955.1359997,8.71545,1351748750.0,150900994.39252335,1.3661471477201766e-05
6.076631,7453000.0,293988642.1552,0.862772,518517565.0,48380203.13479623,0.0
141.8878194545,1203750000.0,8716528832.05125,70.237755,4401250000.0,51001403.12082062,0.0
6.418055751500001,1341250.0,471303889.91205,-52.23688250000001,211611250.0,73434059.80882901,0.0
3.1145115,-191667500.0,155227557.944,-0.301294,381770000.0,49840097.85932721,0.0
28.021079,44698750.0,704662863.4016,-7.33666,636592500.0,25147599.184228413,0.0
70.5098735,-152500000.0,11976948113.408,-20.0515,3065000000.0,169861999.72983927,0.0
4.933691,2782300.0,55586909.7588,27.1053,15262277.5,11266800.0,1.3661471477201766e-05
16.90122525,50218750.0,1394859824.768,70.237755,1783330000.0,82530100.87348549,1.2673316476757949e-05
13.148572249999999,28910000.0,1855881711.193625,-7.97674,811520000.0,141147013.98044378,0.0
39.12016934,112137500.0,3601493058.8416247,-52.23688250000001,918927500.0,92062307.4900428,0.0
22.03493075,56250000.0,3327252804.53125,-52.23688250000001,1407125000.0,150999013.4428378,0.0
14.482478475,-21683750.0,465953443.9376,68.2697,856088750.0,32173598.23747986,1.3661471477201766e-05
16.19165,-309218750.0,346298902.94560003,-52.23688250000001,67627500.0,21387499.29411765,0.0
53.489592,455958750.0,6138037661.184,21.2416,3465480000.0,114751999.99999999,0.0
78.05327750000001,1220532500.0,15534204037.670837,29.9984,10562148750.0,468084400.97929186,5.836090824311288e-07
42.96025725,271100000.0,4871478246.09275,20.1786,959792500.0,113394997.0956645,5.620136972172518e-06
0.03714555,-49242500.0,1358371.80815,-0.024216,10743750.0,36568897.43589743,0.0
141.8878194545,1220532500.0,15534204037.670837,2.40447,10562148750.0,14378799.843498647,1.5238174039239985e-07
1.104842,-3211250.0,5812286.1221,-0.245203,7647500.0,5260739.655172414,0.0
37.664635249999996,-18358750.0,1912090342.214375,70.237755,1986750000.0,50766198.305727,1.050179196906831e-05
2.694957275,-2483750.0,116125706.1224,70.237755,319758750.0,43089998.939742,0.0
9.048275,171790000.0,973956290.5216,19.0,1046488750.0,107639996.63157894,0.0
8.13106565,-14597500.0,375686115.2688,42.75,208146250.0,46203798.05552302,0.0
4.581284500000001,-690125000.0,1724482501.632,-1.66436,3375500000.0,376418993.76299375,0.0
3.6859815,-96358750.0,695846925.2448,-8.32609,12576250.0,188781990.69767442,0.0
50.556045999999995,-871390937.5,7801758912.230375,0.0,744462500.0,154319008.89223763,0.0
